23,1,11
36,1,11
36,27,9
58,1,7
81,1,6
81,40,3
106,1,11
119,7,10
119,42,8
137,26,8
154,1,16
154,76,6
168,15,17
181,1,10
181,52,4
204,1,6
219,9,11
219,29,7
243,33,15
270,1,11
270,77,9
284,1,6
301,1,9
301,37,9
329,20,15
349,39,17
349,77,8
366,61,10
378,40,14
378,95,3
397,21,18
424,1,12
424,67,8
452,28,11
467,9,10
467,65,9
492,29,19
516,53,19
516,85,7
536,30,10
565,56,9
565,79,9
590,84,6
606,95,14
606,114,8
616,78,13
645,109,13
645,138,9
670,131,18
682,149,10
682,164,4
706,121,8
724,105,8
724,164,8
750,125,14
777,89,12
777,189,8
799,113,12
827,139,18
827,164,5
838,123,11
857,100,14
857,171,5
879,78,18
893,99,6
893,123,5
922,64,16
945,44,13
945,120,8
969,62,18
981,48,10
981,108,8
1010,74,13
1030,97,10
1030,122,9
1059,119,17
1083,86,13
1083,162,4
1103,113,10
1127,135,13
1127,156,6
1152,155,12
1171,132,13
1171,208,6
1181,118,15
1196,133,16
1196,164,8
1221,104,7
1241,120,17
1241,151,7
1259,100,5
1278,119,10
1278,144,7
1297,138,6
1315,150,16
1315,174,5
1332,127,14
1347,139,14
1347,175,3
1362,21,111
