51821,51208,1233
99519,2520,1720
99519,100955,670
99519,101778,1061
192507,95972,1175
192507,100019,1253
218498,69366,1239
218498,123591,603
236030,51457,1516
236030,90975,1014
262926,24899,1322
262926,80381,804
262926,82581,1493
304574,66550,1294
350169,112159,1497
350169,114114,890
350169,116459,1505
427409,189177,1622
427409,193831,543
520625,95097,1380
520625,284302,710
546700,69123,1496
546700,125040,1276
592218,114672,1408
592218,116767,850
592218,118348,1387
613026,135452,1361
637208,159521,1680
637208,162306,759
637208,163290,1592
729122,66616,1765
729122,256061,1391
828805,166684,1264
828805,168645,963
880798,113918,1589
880798,221963,1573
977721,210714,1745
977721,213045,550
977721,215405,846
991398,224539,1311
1004843,210441,1337
1004843,239876,848
1004843,241736,1215
1061667,153402,1440
1061667,271371,1001
1115011,100030,1860
1115011,209018,825
1193568,178826,1569
1193568,181749,1553
1251771,237164,1051
1251771,239283,541
1251771,240281,860
1324783,309833,1455
1406843,226916,1846
1406843,394264,864
1406843,396558,1417
1474360,159499,1651
1474360,298000,1828
1519396,204580,1466
1519396,206580,781
1546126,231145,1726
1546126,235745,1075
1614937,300315,1158
1614937,301847,892
1614937,303687,509
1637052,277526,1213
1719934,194679,1637
1719934,362556,957
1719934,364557,1398
1732908,181774,1474
1732908,210722,653
1747770,196574,1329
1747770,198771,956
1761225,209802,1385
1761225,213269,1795
1772966,221818,1194
1772966,224120,569
1772966,224795,982
1793341,200914,1299
1838451,245663,1813
1838451,248365,526
1838451,249816,986
1928554,335877,1716
1928554,339896,1724
2017969,425166,1440
2017969,427753,921
2043584,398800,1694
2043584,455299,1880
2070320,372063,1615
2070320,428143,518
2070320,429253,1839
2145167,297159,1506
2188704,340668,1689
2188704,342934,724
2188704,344902,1113
2243079,395292,1389
2243079,398590,1269
2282313,434379,1388
2282313,436399,638
2320567,395411,1526
2320567,475612,878
2350617,425286,1466
2350617,427411,696
2350617,429487,1579
2384667,459332,1517
2418605,493248,1469
2418605,495272,556
2418605,497382,1334
2494830,416027,1775
2494830,574372,636
2537833,459106,1671
2537833,461885,691
2595134,401026,1441
2595134,520888,920
2641155,447323,1189
2641155,449195,682
2641155,451255,506
2737086,542940,1736
2800573,606447,1726
2800573,608487,519
2800573,611167,710
2853620,552842,1485
2853620,662550,793
2939515,638743,1106
2939515,640583,836
3015503,562063,1414
3015503,717574,1321
3088073,634529,1550
3088073,636963,559
3088073,637918,1455
3126782,673430,1358
3195760,742285,1414
3195760,744312,615
3195760,745555,1994
3224118,713195,1271
3224118,773932,1980
3260595,676485,1743
3260595,752073,831
3273186,664249,1548
3273186,692505,1960
3361347,752196,1352
3361347,754671,948
3361347,756363,1831
3427954,684809,1436
3472980,729809,1449
3472980,732518,909
3472980,733066,1926
3525378,676743,1378
3525378,785909,1680
3580782,621440,1359
3580782,734573,882
3629348,572465,1533
3629348,673345,1769
3649032,592533,1533
3649032,594216,951
3649032,595783,794
3661069,604639,1244
3713449,656797,1559
3713449,659043,943
3713449,660789,785
3730281,639025,1901
3730281,677723,1861
3791484,578209,1369
3791484,703083,596
3836156,533398,1580
3836156,626488,686
3930075,627327,1549
3930075,629947,582
3930075,630272,926
4017265,714286,1628
4083381,780690,1436
4083381,782477,588
4083381,784562,1794
4116762,746595,1379
4116762,816972,666
4157112,786984,1442
4157112,789563,804
4194663,824494,1548
4194663,828941,1803
4244856,874626,1576
4244856,876727,922
4244856,879059,1747
4317770,801126,1486
4378084,861235,1464
4378084,863440,630
4378084,864247,974
4402513,885938,1475
4402513,889975,1659
4487224,800399,1707
4487224,972214,588
4518415,831478,1522
4518415,835466,658
4541817,807224,1693
4541817,857413,685
4541817,859349,520
4567238,832732,1610
4601311,866912,1182
4601311,869526,631
4601311,871017,1604
4644918,910647,1437
4644918,914194,1018
4707265,847519,1339
4707265,975363,881
4754273,800431,1396
4754273,897796,783
4792577,838737,1387
4792577,840659,998
4792577,841945,1490
4840945,789556,1745
4853517,802356,1432
4853517,804089,586
4853517,806349,1137
4923535,872315,1399
4923535,876314,846
4962955,911614,1550
4962955,913856,790
5015714,858018,1457
5015714,967614,1118
5071069,913212,1844
5071069,915760,870
5071069,917244,1657
5141014,842766,1306
5239644,743774,1808
5239644,943798,569
5239644,944666,1392
5290827,795190,1245
5290827,799591,1650
5352245,856596,1232
5352245,859174,791
5440063,767849,1827
5440063,947345,1705
5489177,817293,1485
5489177,819285,518
5489177,820150,1526
5582996,911038,1558
5640789,852470,1750
5640789,971486,656
5640789,972982,900
5695770,907707,1310
5695770,911503,511
5769323,833461,1310
5769323,982840,825
5862753,926757,1354
5862753,931337,859
5955113,1018971,1817
5955113,1021760,569
5955113,1022840,596
6019983,1084086,1400
6098230,1005279,1258
6098230,1165034,694
6098230,1166867,704
6134723,1041685,1595
6134723,1044567,1149
6171862,1078569,1705
6171862,1081328,954
6187158,1093812,1702
6187158,1097577,680
6258684,1021368,1482
6258684,1168286,776
6258684,1170086,1420
6272435,1035156,1683
6345503,1108429,1246
6345503,1110846,686
6345503,1112343,1198
